599|R - OTHER RESIDENTIAL
600|E - EXEMPT PROPERTY OWNED BY USA
610|E - EXEMPT PROPERTY OWNED BY STATE OF OH
613|E - EXEMPT LAND ONLY
620|E - EXEMPT PROPERTY OWNED BY COUNTIES
630|E - EXEMPT PROPERTY OWNED BY TOWNSHIP
640|E - EXEMPT PROPERTY OWNED BY MUNICIPALS
645|E - EXEMPT PROPERTY OWN/ACQUIRE BY MET AUTH
650|E - EXEMPT PROPERTY OWNED BY BD OF EDUC.
660|E - EXEMPT PROPERTY OWNED PARK DIST.PUB
670|E - EXEMPT PROP OWNED COL-ACAD-PRI SCHOO
680|E - CHARIT EXEMT HOSP HOMS AGED ETC,PRIV
685|E - CHURCHES ETC PUBLIC WORSHIP PRIVE
690|E - GRAVEYARDS MONUMENTS, CEMETERIES
698|E - OTHER EXEMPT PROPERTY
699|E - REGIONAL WATER DISTRICT
700|E - COMM URBAN REDEVL CORP TAX ABATEMENT
710|E - COMM REINVEST AREA TAX ABATEMENT
720|E - MUNICIPAL IMPROVE TAX ABATEMENT
730|E - MUNICIPAL URBAN REDEVELOP TAX ABATEMENT
740|E - OTHER TAX ABATEMENT
800|A - AGRI LAND&IMPRO OWN PUBLIC UTI RAIL
810|M - MINE LAND&IMPRO OWN PUBLIC UTI RAIL
820|I - INDU LAND&IMPRO OWN PUBLIC UTI RAIL
830|C - COMM LD&IMPRO OWN BY PUB UTI TH RAIL
840|U - RAILROAD REAL PROP USED IN OPERATIONS
850|U - RAILROAD REAL PROP NOT USED OPERATIONS
860|U - RAIL PER PROP USED OPER RAIL PER PRO
870|U - RAIL PER PROP NOT USED IN OPERATIONS
880|U - PUB UTIL PER PROP OTHER THAN RRS
